Depth,RES,DEN,NG,CAL,FCRES,FCDEN,FCNG,FCCAL,CLRES,CLDEN,CLNG,CLCAL,ELRES,ELDEN,ELCG,ELCAL
55.2,19.719997,2.39,6.3600006,163.34,18.60045247,2.388716793,5.108111398,152.4755483,18.56460679,2.385388579,6.290660625,145.6551297,19.28354428,2.393835601,6.786943614,163.6475328
55.25,19.939999,2.39,6.37,162.66998,18.77766585,2.389108557,5.15700121,151.8985839,18.69458909,2.386466441,6.313318184,145.3755352,19.50701284,2.393840908,6.808434847,162.9837834
55.3,19.96,2.4,6.55,162.23,18.79716926,2.395935582,5.324008749,151.4989594,18.66809152,2.388879179,6.385351118,145.1290147,19.52885606,2.404114573,6.994812144,162.5487701
55.35,19.829998,2.41,6.5799994,162,18.69851876,2.402576053,5.377078994,151.2692696,18.54768773,2.3920896,6.41617365,144.9749344,19.3970966,2.414373952,7.880457534,162.3375081
55.4,19.59,2.41,6.23,161.55998,18.50788117,2.402693246,5.146610562,150.8705089,18.35259722,2.394225129,6.275228172,144.7825634,19.153588,2.414334365,7.244826427,161.9183941
55.45,19.29,2.41,5.76,161.12,18.26516935,2.402946322,4.824007968,150.4718922,18.10478954,2.395572589,6.01899638,144.5687572,18.85172304,2.414292875,6.760604732,161.4852074
55.5,19,2.41,5.6,160.44998,18.03300156,2.403177602,4.71624407,149.9149842,17.87588693,2.396450246,5.834234851,144.2905709,18.56085253,2.414258295,6.614702544,160.8227358
55.55,18.71,2.41,5.47,160.01,17.80888858,2.403377407,4.645570577,149.5665758,17.65232918,2.397050427,5.707545081,144.0882662,18.27096314,2.414208027,6.506682667,160.3864808
55.6,18.43,2.41,5.41,159.56,17.59366957,2.403443763,4.614682747,149.2367392,17.44741486,2.397389887,5.630406434,143.9219532,17.99093099,2.414175783,6.456114222,159.9388704
55.65,18.16,2.41,4.98,159.12,17.38917,2.403475139,4.330281309,148.9306031,17.25366149,2.39752971,5.459546338,143.7749632,17.72134104,2.414145609,6.05852919,159.500123
55.7,17.97,2.41,5.48,158.9,17.24826312,2.403591197,4.692516049,148.8169954,17.1272335,2.397609518,5.527442602,143.7076048,17.53363863,2.414134794,6.489287466,159.2802319
55.75,17.87,2.41,6.29,159.12,17.18031487,2.403396833,5.262771447,149.0450656,17.06931271,2.397424134,5.849249469,143.8015431,17.4337937,2.414104019,6.587972224,159.4948367
55.8,17.84,2.41,7.5500007,159.34001,17.163928,2.402982905,6.126740132,149.2669452,17.06674991,2.396881431,6.485296674,143.9276759,17.40214972,2.4140896,7.853443795,159.7086407
