Depth,Dense,Res,Ng,Cal,SP
72.35,2.34,14.46,12.21,153.91,-228.36
72.4,2.34,15.09,12.59,154.06,-227.73
72.45,2.34,15.64,12.76,154.09,-226.2
72.5,2.34,16.09,12.87,154.08,-223.99
72.55,2.34,16.44,12.73,154.08,-221.66
72.6,2.34,16.7,12.52,154.17,-219.61
72.65,2.35,16.83,12.25,154.33,-218.43
72.7,2.35,16.79,12.35,154.51,-218.18
72.75,2.34,16.59,12.52,154.8,-218.76
72.8,2.33,16.26,12.38,155.25,-219.76
72.85,2.32,15.91,11.78,155.88,-221.04
72.9,2.31,15.7,11.03,156.59,-222.56
72.95,2.3,15.82,10.36,157.3,-224.42
73,2.29,16.12,9.68,157.89,-226.47
73.05,2.28,16.45,9.01,158.38,-228.45
73.1,2.28,16.41,8.54,158.86,-229.92
73.15,2.29,16.08,8.31,159.36,-230.65
73.2,2.29,15.48,8.37,159.87,-230.51
73.25,2.31,14.74,8.34,160.3,-229.67
73.3,2.32,13.86,8.34,160.75,-228.34
73.35,2.34,12.93,7.94,161.41,-226.79
73.4,2.36,12.1,7.66,162.25,-225.2
73.45,2.37,11.51,7.32,163.27,-223.83
73.5,2.39,11.16,7,164.21,-222.97
73.55,2.41,11.03,6.66,165.05,-222.91
73.6,2.42,11.05,6.33,165.68,-223.8
73.65,2.41,11.24,5.6,166.1,-225.51
73.7,2.4,11.56,4.79,166.36,-227.7
73.75,2.37,12.05,3.88,166.49,-230.05
73.8,2.36,12.65,3.33,166.57,-232.22
73.85,2.34,13.37,2.84,166.66,-234.07
73.9,2.32,14.17,2.04,166.74,-235.56
73.95,2.3,15.15,1.78,166.72,-236.81
74,2.29,16.15,1.56,166.51,-237.85
74.05,2.28,17.03,2.27,166.07,-238.63
74.1,2.26,17.51,2.97,165.5,-239.03
74.15,2.25,17.54,3.85,164.8,-239.1
74.2,2.23,17.09,4.56,164.15,-238.99
74.25,2.23,16.28,5.28,163.53,-238.73
74.3,2.23,15.26,5.97,162.83,-238.06
74.35,2.24,14.23,7.25,161.9,-236.71
74.4,2.25,13.26,8.64,160.68,-234.7
74.45,2.26,12.5,10.18,159.19,-232.55
74.5,2.27,11.91,10.97,157.09,-230.88
