Depth,Den,Ng,SP,Res,Cal
128.9,0,11.39,-559.07,19.33,193.53
128.95,0,11.76,-559.04,19.38,193.31
129,0,12.23,-559,19.43,193.31
129.05,0,12.6,-558.92,19.48,193.31
129.1,0,12.57,-558.82,19.49,193.08
129.15,0,11.83,-558.71,19.41,193.08
129.2,0,10.88,-558.58,19.2,193.08
129.25,0,9.54,-558.45,18.81,193.08
129.3,0,8.48,-558.32,18.31,193.08
129.35,0,7.41,-558.2,17.78,193.53
129.4,0,6.78,-558.09,17.27,193.75
129.45,0,5.84,-558,16.8,194.19
129.5,0,4.92,-557.94,16.38,194.64
129.55,0,3.75,-557.9,16.05,195.08
129.6,0,2.94,-557.87,15.83,195.53
129.65,0,2.14,-557.87,15.71,195.97
129.7,0,1.61,-557.86,15.67,196.19
129.75,0,1.35,-557.85,15.7,196.41
129.8,0,1.59,-557.83,15.82,196.19
129.85,0,1.99,-557.77,16.04,196.19
129.9,0,2.72,-557.67,16.32,195.75
129.95,0,3.14,-557.54,16.58,195.75
130,0,3.57,-557.38,16.67,195.75
130.05,0,3.94,-557.21,16.5,195.75
130.1,0,4.3,-557.04,16,195.75
130.15,0,4.65,-556.89,15.23,195.75
130.2,0,4.99,-556.75,14.43,195.75
130.25,0,5.33,-556.64,13.76,195.08
130.3,0,5.66,-556.54,13.39,193.97
